Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
Jagson Pal Pharmaceuticals Ltd,JAGSNPHARM:NSI,162.25,INR,9.00,n/a,n/a
Jai Corp Ltd,JAICORPLTD:NSI,"4,347.15",INR,10.11,n/a,n/a
Jain Studios Ltd,JAINSTUDIO:NSI,9.60,INR,3.19,n/a,n/a
Jay Shree Tea and Industries Ltd,JAYSREETEA:NSI,92.80,INR,1.57,n/a,n/a
Jaypee Infratech Ltd,JPINFRATEC:NSI,"1,856.40",INR,4.62,n/a,n/a
JBF Industries Ltd,JBFIND:NSI,"14,186.90",INR,51.50,n/a,n/a
Jindal Photo Ltd,JINDALPHOT:NSI,519.80,INR,33.28,n/a,n/a
Jindal Poly Films Ltd,JINDALPOLY:NSI,"4,880.40",INR,13.66,n/a,n/a
Jindal SAW Ltd,JINDALSAW:NSI,"2,029.20",INR,2.54,n/a,n/a
JMT Auto Ltd,JMTAUTOLTD:NSI,-56.10,INR,-1.37,n/a,n/a
JSW Holdings Ltd,JSWHL:NSI,"1,156.25",INR,2.51,n/a,n/a
Jyoti Structures Ltd,JYOTISTRUC:NSI,61.00,INR,2.27,n/a,n/a
K S B Pumps Ltd,KSBPUMPS:NSI,"8,154.90",INR,14.21,n/a,n/a
Kakatiya Cement Sugar and Industries Ltd,KAKATCEM:NSI,329.80,INR,5.57,n/a,n/a
Kalyani Steels Ltd,KSL:NSI,"1,993.35",INR,5.28,n/a,n/a
Kanoria Chemicals and Industries Ltd,KANORICHEM:NSI,470.45,INR,5.81,n/a,n/a
Karuturi Global Ltd,KGL:NSI,166.80,INR,4.17,n/a,n/a
KCP Ltd,KCP:NSI,"2,238.60",INR,6.84,n/a,n/a
Kesoram Industries Ltd,KESORAMIND:NSI,"2,071.10",INR,5.96,n/a,n/a
Kewal Kiran Clothing Ltd,KKCL:NSI,"5,853.60",INR,12.73,n/a,n/a
Kirloskar Brothers Ltd,KIRLOSBROS:NSI,"3,708.15",INR,8.84,n/a,n/a
Kirloskar Industries Ltd,KIRLOSIND:NSI,"1,430.00",INR,4.45,n/a,n/a
Kitex Garments Ltd,KITEX:NSI,"1,191.40",INR,3.81,n/a,n/a
KNR Constructions Ltd,KNRCON:NSI,"2,613.55",INR,4.03,n/a,n/a
Kohinoor Foods Ltd,KOHINOOR:NSI,39.00,INR,0.7163,n/a,n/a
Kolte Patil Developers Ltd,KOLTEPATIL:NSI,"7,385.30",INR,24.33,n/a,n/a
Kopran Ltd,KOPRAN:NSI,259.20,INR,3.97,n/a,n/a
Kothari Products Ltd,KOTHARIPRO:NSI,363.00,INR,3.10,n/a,n/a
KPIT Technologies Ltd,KPIT:NSI,"2,420.00",INR,4.55,n/a,n/a
KSK Energy Ventures Ltd,KSK:NSI,519.20,INR,5.56,n/a,n/a
Lakshmi Energy And Foods Ltd,LAKSHMIEFL:NSI,-62.40,INR,-1.31,n/a,n/a
Lanco Infratech Ltd,LITL:NSI,369.10,INR,6.25,n/a,n/a
LG Balakrishnan & Bros Ltd,LGBBROSLTD:NSI,"8,160.25",INR,34.12,n/a,n/a
Lovable Lingerie Ltd,LOVABLE:NSI,-423.65,INR,-4.66,n/a,n/a
Lumax Industries Ltd,LUMAXIND:NSI,"5,633.25",INR,21.62,n/a,n/a
Magma Fincorp Ltd,MAGMA:NSI,"3,115.20",INR,3.47,n/a,n/a
Mahanagar Telephone Nigam Ltd,MTNL:NSI,280.60,INR,1.02,n/a,n/a
Maharashtra Scooters Ltd,MAHSCOOTER:NSI,"-1,238.75",INR,-1.73,n/a,n/a
Maharashtra Seamless Ltd,MAHSEAMLES:NSI,"6,250.55",INR,10.01,n/a,n/a
Mahindra Lifespace Developers Ltd,MAHLIFE:NSI,723.90,INR,1.38,n/a,n/a
Man Industries India Ltd,MANINDS:NSI,"2,571.75",INR,23.94,n/a,n/a
Man Infraconstruction Ltd,MANINFRA:NSI,"1,515.25",INR,4.58,n/a,n/a
Manali Petrochemicals Ltd,MANALIPETC:NSI,919.20,INR,7.40,n/a,n/a
Mandhana Industries Ltd,MANDHANA:NSI,3.70,INR,0.641,n/a,n/a
Mangalam Cement Ltd,MANGLMCEM:NSI,"1,789.35",INR,6.67,n/a,n/a
Maral Overseas Ltd,MARALOVER:NSI,478.40,INR,13.98,n/a,n/a
Marksans Pharma Ltd,MARKSANS:NSI,"1,687.20",INR,4.35,n/a,n/a
Mastek Ltd,MASTEK:NSI,"1,721.20",INR,11.62,n/a,n/a
Mayur Uniquoters Ltd,MAYURUNIQ:NSI,"4,916.40",INR,13.24,n/a,n/a
MBL Infrastructures Ltd,MBLINFRA:NSI,547.40,INR,27.05,n/a,n/a
McLeod Russel India Ltd,MCLEODRUSS:NSI,"-1,098.00",INR,-2.75,n/a,n/a
Mercator Ltd,MERCATOR:NSI,"2,704.50",INR,12.11,n/a,n/a
Merck Ltd,MERCK:NSI,"4,612.05",INR,11.98,n/a,n/a
Metalyst Forgings Ltd,METALFORGE:NSI,19.40,INR,0.7576,n/a,n/a
MIRC Electronics Ltd,MIRCELECTR:NSI,"2,525.20",INR,19.63,n/a,n/a
Mirza International Ltd,MIRZAINT:NSI,322.80,INR,0.7557,n/a,n/a
Monnet Ispat and Energy Ltd,MONNETISPA:NSI,44.80,INR,0.3333,n/a,n/a
Morepen Laboratories Ltd,MOREPENLAB:NSI,501.50,INR,3.13,n/a,n/a
MPS Ltd,MPSLTD:NSI,416.15,INR,1.74,n/a,n/a
MT Educare Ltd,MTEDUCARE:NSI,538.45,INR,10.79,n/a,n/a
Mukand Ltd,MUKANDLTD:NSI,"4,425.75",INR,15.72,n/a,n/a
Mukta Arts Ltd,MUKTAARTS:NSI,170.00,INR,3.71,n/a,n/a
Munjal Auto Industries Ltd,MUNJALAU:NSI,"4,181.25",INR,27.76,n/a,n/a
Munjal Showa Ltd,MUNJALSHOW:NSI,"1,041.30",INR,4.60,n/a,n/a
Nagarjuna Fertilizers and Chemicals Ltd,NAGAFERT:NSI,466.20,INR,2.24,n/a,n/a
Nahar Industrial Enterprises Ltd,NAHARINDUS:NSI,"1,143.65",INR,13.77,n/a,n/a
Nahar Poly Films Ltd,NAHARPOLY:NSI,82.50,INR,2.86,n/a,n/a
Nahar Spinning Mills Ltd,NAHARSPING:NSI,496.00,INR,6.10,n/a,n/a
Nava Bharat Ventures Ltd,NBVENTURES:NSI,"3,044.70",INR,6.16,n/a,n/a
Navkar Corporation Ltd,NAVKARCORP:NSI,"5,135.70",INR,8.84,n/a,n/a
Nelco Ltd,NELCO:NSI,-471.75,INR,-7.69,n/a,n/a
Next Mediaworks Ltd,NEXTMEDIA:NSI,789.70,INR,29.44,n/a,n/a
NIIT Ltd,NIITLTD:NSI,"1,924.00",INR,5.26,n/a,n/a
NIIT Technologies Ltd,NIITTECH:NSI,"9,494.10",INR,12.77,n/a,n/a
Nitin Fire Protection Industries Ltd,NITINFIRE:NSI,"-1,334.55",INR,-22.16,n/a,n/a
Nocil Ltd,NOCIL:NSI,"15,298.80",INR,29.32,n/a,n/a
Noida Toll Bridge Company Ltd,NOIDATOLL:NSI,-228.25,INR,-3.79,n/a,n/a
NRB Bearings Ltd,NRBBEARING:NSI,"3,898.80",INR,15.19,n/a,n/a
Oil Country Tubular Ltd,OILCOUNTUB:NSI,272.25,INR,6.21,n/a,n/a
Omax Autos Ltd,OMAXAUTO:NSI,230.40,INR,7.53,n/a,n/a
Onelife Capital Advisors Ltd,ONELIFECAP:NSI,207.00,INR,28.28,n/a,n/a
Onward Technologies Ltd,ONWARDTEC:NSI,375.70,INR,8.48,n/a,n/a
Opto Circuits (India) Ltd,OPTOCIRCUI:NSI,-216.00,INR,-5.37,n/a,n/a
Orient Cement Ltd,ORIENTCEM:NSI,"5,540.40",INR,8.46,n/a,n/a
Orient Paper and Industries Ltd,ORIENTPPR:NSI,-684.40,INR,-1.47,n/a,n/a
Oriental Hotels Ltd,ORIENTHOT:NSI,-59.70,INR,-0.4043,n/a,n/a
Orissa Minerals Development Company Ltd,ORISSAMINE:NSI,-88.40,INR,-0.3931,n/a,n/a
Ortin Laboratories Ltd,ORTINLABSS:NSI,-9.50,INR,-1.52,n/a,n/a
Panacea Biotec Ltd,PANACEABIO:NSI,"3,121.20",INR,11.01,n/a,n/a
Pansari Developers Ltd,PANSARI:NSI,-58.50,INR,-6.90,n/a,n/a
